"filename", "language", "Dart", "comment", "blank", "total"
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\schedule_tab_screen.dart", "Dart", 0, -43, -1, -44
"d:\VSCode\Flutter\watering_app\lib\features\groups\data\models\group_model.dart", "Dart", 8, 0, 1, 9
"d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_detail_screen.dart", "Dart", 7, 0, -1, 6
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\articles_screen.dart", "Dart", 0, -4, 0, -4
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\home_screen.dart", "Dart", 67, 0, 3, 70
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\incoming_schedule_screen.dart", "Dart", 104, 1, 4, 109
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\schedule_item_card.dart", "Dart", 6, 0, 0, 6
"Total", "-", 192, -46, 6, 152
